753,Werkzeugmacher*in
754,Werkzeugschleifer*in
755,Reiseleiter*in
756,Verkehrstechniker*in
757,Leiter*in für Schulung und Entwicklung
758,Spezialist*in für Schulung und Entwicklung
759,Transit- und Bahnpolizist*in
760,"Fahrgastbetreuer*in in Zügen, Bussen, Schiffen oder Bahnhöfen und Häfen"
761,Inspektor*in für Verkehrssicherheit
762,Mitarbeiter*in der Sicherheitskontrolle im öffentlichen Verkehrswesen
763,Logistikmanager*in
764,Reisekaufmann/-kauffrau
765,Reiseleiter*in
766,Baumschneider*in
767,Schiedsrichter*in
768,Polsterer/Polsterin
769,Stadt- und Regionalplaner*in
770,Amtsdiener*in
771,Tierarzt/Tierärztin
772,Tierarztassistent*in
773,Veterinärtechnologe/-technologin
774,Dozent*in im Berufsschulwesen
775,Servicepersonal
776,Uhrmacher*in
777,Betreiber*in von Wasser-/Abwasseraufbereitungsanlagen
778,Webentwickler*in
779,Wäger*in/Messer*in
